week,date,home,away,spread_home
1,,ATL,TB,0.0
1,,BUF,BAL,0.0
1,,CHI,MIN,0.0
1,,CLE,CIN,0.0
1,,DEN,TEN,0.0
1,,GB,DET,0.0
1,,IND,MIA,0.0
1,,JAX,CAR,0.0
1,,LAC,KC,0.0
1,,LAR,HOU,0.0
1,,NE,LV,0.0
1,,NO,ARI,0.0
1,,NYJ,PIT,0.0
1,,PHI,DAL,0.0
1,,SEA,SF,0.0
1,,WSH,NYG,0.0
2,,ARI,CAR,0.0
2,,BAL,CLE,0.0
2,,CIN,JAX,0.0
2,,DAL,NYG,0.0
2,,DET,CHI,0.0
2,,GB,WSH,0.0
2,,HOU,TB,0.0
2,,IND,DEN,0.0
2,,KC,PHI,0.0
2,,LV,LAC,0.0
2,,MIA,NE,0.0
2,,MIN,ATL,0.0
2,,NO,SF,0.0
2,,NYJ,BUF,0.0
2,,PIT,SEA,0.0
2,,TEN,LAR,0.0
3,,BAL,DET,0.0
3,,BUF,MIA,0.0
3,,CAR,ATL,0.0
3,,CHI,DAL,0.0
3,,CLE,GB,0.0
3,,JAX,HOU,0.0
3,,LAC,DEN,0.0
3,,MIN,CIN,0.0
3,,NE,PIT,0.0
3,,NYG,KC,0.0
3,,PHI,LAR,0.0
3,,SEA,NO,0.0
3,,SF,ARI,0.0
3,,TB,NYJ,0.0
3,,TEN,IND,0.0
3,,WSH,LV,0.0
4,,ARI,SEA,0.0
4,,ATL,WSH,0.0
4,,BUF,NO,0.0
4,,DAL,GB,0.0
4,,DEN,CIN,0.0
4,,DET,CLE,0.0
4,,HOU,TEN,0.0
4,,KC,BAL,0.0
4,,LAR,IND,0.0
4,,LV,CHI,0.0
4,,MIA,NYJ,0.0
4,,NE,CAR,0.0
4,,NYG,LAC,0.0
4,,PIT,MIN,0.0
4,,SF,JAX,0.0
4,,TB,PHI,0.0
5,,ARI,TEN,0.0
5,,BAL,HOU,0.0
5,,BUF,NE,0.0
5,,CAR,MIA,0.0
5,,CIN,DET,0.0
5,,CLE,MIN,0.0
5,,IND,LV,0.0
5,,JAX,KC,0.0
5,,LAC,WSH,0.0
5,,LAR,SF,0.0
5,,NO,NYG,0.0
5,,NYJ,DAL,0.0
5,,PHI,DEN,0.0
5,,SEA,TB,0.0
6,,ATL,BUF,0.0
6,,BAL,LAR,0.0
6,,CAR,DAL,0.0
6,,GB,CIN,0.0
6,,IND,ARI,0.0
6,,JAX,SEA,0.0
6,,KC,DET,0.0
6,,LV,TEN,0.0
6,,MIA,LAC,0.0
6,,NO,NE,0.0
6,,NYG,PHI,0.0
6,,NYJ,DEN,0.0
6,,PIT,CLE,0.0
6,,TB,SF,0.0
6,,WSH,CHI,0.0
7,,ARI,GB,0.0
7,,CHI,NO,0.0
7,,CIN,PIT,0.0
7,,CLE,MIA,0.0
7,,DAL,WSH,0.0
7,,DEN,NYG,0.0
7,,DET,TB,0.0
7,,JAX,LAR,0.0
7,,KC,LV,0.0
7,,LAC,IND,0.0
7,,MIN,PHI,0.0
7,,NYJ,CAR,0.0
7,,SEA,HOU,0.0
7,,SF,ATL,0.0
7,,TEN,NE,0.0
8,,ATL,MIA,0.0
8,,BAL,CHI,0.0
8,,CAR,BUF,0.0
8,,CIN,NYJ,0.0
8,,DEN,DAL,0.0
8,,HOU,SF,0.0
8,,IND,TEN,0.0
8,,KC,WSH,0.0
8,,LAC,MIN,0.0
8,,NE,CLE,0.0
8,,NO,TB,0.0
8,,PHI,NYG,0.0
8,,PIT,GB,0.0
9,,BUF,KC,0.0
9,,CIN,CHI,0.0
9,,DAL,ARI,0.0
9,,DET,MIN,0.0
9,,GB,CAR,0.0
9,,HOU,DEN,0.0
9,,LAR,NO,0.0
9,,LV,JAX,0.0
9,,MIA,BAL,0.0
9,,NE,ATL,0.0
9,,NYG,SF,0.0
9,,PIT,IND,0.0
9,,TEN,LAC,0.0
9,,WSH,SEA,0.0
10,,CAR,NO,0.0
10,,CHI,NYG,0.0
10,,DEN,LV,0.0
10,,GB,PHI,0.0
10,,HOU,JAX,0.0
10,,IND,ATL,0.0
10,,LAC,PIT,0.0
10,,MIA,BUF,0.0
10,,MIN,BAL,0.0
10,,NYJ,CLE,0.0
10,,SEA,ARI,0.0
10,,SF,LAR,0.0
10,,TB,NE,0.0
10,,WSH,DET,0.0
11,,ARI,SF,0.0
11,,ATL,CAR,0.0
11,,BUF,TB,0.0
11,,CLE,BAL,0.0
11,,DEN,KC,0.0
11,,JAX,LAC,0.0
11,,LAR,SEA,0.0
11,,LV,DAL,0.0
11,,MIA,WSH,0.0
11,,MIN,CHI,0.0
11,,NE,NYJ,0.0
11,,NYG,GB,0.0
11,,PHI,DET,0.0
11,,PIT,CIN,0.0
11,,TEN,HOU,0.0
12,,ARI,JAX,0.0
12,,BAL,NYJ,0.0
12,,CHI,PIT,0.0
12,,CIN,NE,0.0
12,,DAL,PHI,0.0
12,,DET,NYG,0.0
12,,GB,MIN,0.0
12,,HOU,BUF,0.0
12,,KC,IND,0.0
12,,LAR,TB,0.0
12,,LV,CLE,0.0
12,,NO,ATL,0.0
12,,SF,CAR,0.0
12,,TEN,SEA,0.0
13,,BAL,CIN,0.0
13,,CAR,LAR,0.0
13,,CLE,SF,0.0
13,,DAL,KC,0.0
13,,DET,GB,0.0
13,,IND,HOU,0.0
13,,LAC,LV,0.0
13,,MIA,NO,0.0
13,,NE,NYG,0.0
13,,NYJ,ATL,0.0
13,,PHI,CHI,0.0
13,,PIT,BUF,0.0
13,,SEA,MIN,0.0
13,,TB,ARI,0.0
13,,TEN,JAX,0.0
13,,WSH,DEN,0.0
14,,ARI,LAR,0.0
14,,ATL,SEA,0.0
14,,BAL,PIT,0.0
14,,BUF,CIN,0.0
14,,CLE,TEN,0.0
14,,DET,DAL,0.0
14,,GB,CHI,0.0
14,,JAX,IND,0.0
14,,KC,HOU,0.0
14,,LAC,PHI,0.0
14,,LV,DEN,0.0
14,,MIN,WSH,0.0
14,,NYJ,MIA,0.0
14,,TB,NO,0.0
15,,CHI,CLE,0.0
15,,CIN,BAL,0.0
15,,DAL,MIN,0.0
15,,DEN,GB,0.0
15,,HOU,ARI,0.0
15,,JAX,NYJ,0.0
15,,KC,LAC,0.0
15,,LAR,DET,0.0
15,,NE,BUF,0.0
15,,NO,CAR,0.0
15,,NYG,WSH,0.0
15,,PHI,LV,0.0
15,,PIT,MIA,0.0
15,,SEA,IND,0.0
15,,SF,TEN,0.0
15,,TB,ATL,0.0
16,,ARI,ATL,0.0
16,,BAL,NE,0.0
16,,CAR,TB,0.0
16,,CHI,GB,0.0
16,,CLE,BUF,0.0
16,,DAL,LAC,0.0
16,,DEN,JAX,0.0
16,,DET,PIT,0.0
16,,HOU,LV,0.0
16,,IND,SF,0.0
16,,MIA,CIN,0.0
16,,NO,NYJ,0.0
16,,NYG,MIN,0.0
16,,SEA,LAR,0.0
16,,TEN,KC,0.0
16,,WSH,PHI,0.0
17,,ATL,LAR,0.0
17,,BUF,PHI,0.0
17,,CAR,SEA,0.0
17,,CIN,ARI,0.0
17,,CLE,PIT,0.0
17,,GB,BAL,0.0
17,,IND,JAX,0.0
17,,KC,DEN,0.0
17,,LAC,HOU,0.0
17,,LV,NYG,0.0
17,,MIA,TB,0.0
17,,MIN,DET,0.0
17,,NYJ,NE,0.0
17,,SF,CHI,0.0
17,,TEN,NO,0.0
17,,WSH,DAL,0.0
18,,ATL,NO,0.0
18,,BUF,NYJ,0.0
18,,CHI,DET,0.0
18,,CIN,CLE,0.0
18,,DEN,LAC,0.0
18,,HOU,IND,0.0
18,,JAX,TEN,0.0
18,,LAR,ARI,0.0
18,,LV,KC,0.0
18,,MIN,GB,0.0
18,,NE,MIA,0.0
18,,NYG,DAL,0.0
18,,PHI,WSH,0.0
18,,PIT,BAL,0.0
18,,SF,SEA,0.0
18,,TB,CAR,0.0
